"TimeStamp","Host","Uptime","HashRate"
"2018-05-17 14:30:11","m01","617.48","4732.2"
"2018-05-17 15:00:11","m01","617.98","4727.1"
"2018-05-17 15:30:11","m01","618.48","4733.8"
"2018-05-17 16:00:11","m01","618.98","4723.8"
"2018-05-17 16:30:11","m01","619.48","4722.4"
"2018-05-17 17:00:11","m01","619.98","4734"
"2018-05-17 17:30:11","m01","620.48","4729.8"
"2018-05-17 18:00:11","m01","620.98","4733"
"2018-05-17 18:30:11","m01","621.48","4732.7"
"2018-05-17 19:00:11","m01","621.98","4733.5"
"2018-05-17 19:30:11","m01","622.48","4722.1"
"2018-05-17 20:00:11","m01","622.98","4732.5"
"2018-05-17 20:30:11","m01","623.48","4730.5"
"2018-05-17 21:00:11","m01","623.98","4735.2"
"2018-05-17 21:30:11","m01","624.48","4719.3"
"2018-05-17 22:00:09","m01","624.98","4731.4"
"2018-05-17 22:30:10","m01","625.48","4730.7"
"2018-05-17 23:00:11","m01","625.98","4731.3"
"2018-05-17 23:30:11","m01","626.48","4726"
"2018-05-18 00:00:11","m01","626.98","4731.1"
"2018-05-18 00:30:11","m01","627.48","4730.8"
"2018-05-18 01:00:11","m01","627.98","4734.2"
"2018-05-18 01:30:11","m01","628.48","4730.2"
"2018-05-18 02:00:11","m01","628.98","4722"
"2018-05-18 02:30:11","m01","629.48","4729.6"
"2018-05-18 03:00:11","m01","629.98","4731.3"
"2018-05-18 03:30:10","m01","630.48","4730.7"
"2018-05-18 04:00:11","m01","630.98","4731.3"
"2018-05-18 04:30:11","m01","631.48","4725.5"
"2018-05-18 05:00:11","m01","631.98","4729.9"
"2018-05-18 05:30:11","m01","632.48","4727.4"
"2018-05-18 06:00:12","m01","632.98","4724.7"
"2018-05-18 06:30:10","m01","633.48","4679.3"
"2018-05-18 07:00:11","m01","633.98","4723"
"2018-05-18 07:30:11","m01","634.48","4723.7"
"2018-05-18 08:00:11","m01","634.98","4735.6"
"2018-05-18 08:30:11","m01","635.48","4730.2"
"2018-05-18 09:00:11","m01","635.98","4732.9"
"2018-05-18 09:30:11","m01","636.48","4721.9"
"2018-05-18 10:00:11","m01","636.98","4734.3"
"2018-05-18 10:30:11","m01","637.48","4731.4"
"2018-05-18 11:00:11","m01","637.98","4709.1"
"2018-05-18 11:30:11","m01","638.48","4722.9"
"2018-05-18 12:00:11","m01","638.98","4729.7"
"2018-05-18 12:30:11","m01","639.48","4730.7"
"2018-05-18 13:00:11","m01","639.98","4733.3"
"2018-05-18 13:30:11","m01","640.48","4720.2"
"2018-05-18 14:00:11","m01","640.98","4724.8"
"2018-05-18 14:30:11","m01","641.48","4717.5"
"2018-05-18 15:00:11","m01","641.98","4723.5"
"2018-05-18 15:30:11","m01","642.48","4713"
"2018-05-18 16:00:09","m01","642.98","4716.2"
"2018-05-18 16:30:11","m01","643.48","4728.1"
"2018-05-18 17:00:11","m01","643.98","4729.5"
"2018-05-18 17:30:11","m01","644.48","4721"
"2018-05-18 18:00:12","m01","644.98","4735"
"2018-05-18 18:30:11","m01","645.48","4730.8"
"2018-05-18 19:00:11","m01","645.98","4733.7"
"2018-05-18 19:30:16","m01","646.48","4734.9"
"2018-05-18 20:00:11","m01","646.98","4732.5"
"2018-05-18 20:30:11","m01","647.48","4722.9"
"2018-05-18 21:00:11","m01","647.98","4712.9"
"2018-05-18 21:30:11","m01","648.48","4729.3"
"2018-05-18 22:00:11","m01","648.98","4734.5"
"2018-05-18 22:30:09","m01","649.48","4729.3"
"2018-05-18 23:00:11","m01","649.98","4730.7"
"2018-05-18 23:30:11","m01","650.48","4720"
"2018-05-19 00:00:11","m01","650.98","4730.5"
"2018-05-19 00:30:11","m01","651.48","4724.2"
"2018-05-19 01:00:09","m01","651.98","4730.9"
"2018-05-19 01:30:11","m01","652.48","4730.3"
"2018-05-19 02:00:11","m01","652.98","4729.5"
"2018-05-19 02:30:11","m01","653.48","4730.5"
"2018-05-19 03:00:11","m01","653.98","4729.6"
"2018-05-19 03:30:11","m01","654.48","4731.1"
"2018-05-19 04:00:11","m01","654.98","4732"
"2018-05-19 04:30:12","m01","655.48","4734.6"
"2018-05-19 05:00:11","m01","655.98","4730.1"
"2018-05-19 05:30:11","m01","656.48","4722.5"
"2018-05-19 06:00:11","m01","656.98","4732.5"
"2018-05-19 06:30:11","m01","657.48","4725.5"
"2018-05-19 07:00:11","m01","657.98","4731.2"
"2018-05-19 07:30:11","m01","658.48","4725.3"
"2018-05-19 08:00:11","m01","658.98","4730.9"
"2018-05-19 08:30:11","m01","659.48","4731.3"
"2018-05-19 09:00:11","m01","659.98","4731.4"
"2018-05-19 09:30:11","m01","660.48","4730.6"
"2018-05-19 10:00:11","m01","660.98","4719.3"
"2018-05-19 10:30:11","m01","661.48","4730.9"
"2018-05-19 11:00:11","m01","661.98","4724.1"
