"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","T_4","ASIC_4_Status","ASIC_4","Fan_1","Fan_2"
"2018-06-21 04:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 05:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 06:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 06:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 07:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 07:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 08:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 10:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 11:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 11:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 12:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 13:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 13:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 14:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 15:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 15:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 16:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 17:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 17:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 18:00:16","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 18:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 19:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 19:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 20:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 20:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 21:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 21:30:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-21 23:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 01:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 01:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 02:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 03:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 03:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 04:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 05:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 05:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 06:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 06:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 07:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 07:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 08:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 10:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 11:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 11:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 12:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 12:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 13:00:15","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 13:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 14:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 14:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 15:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 15:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 16:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 16:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 17:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 17:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 18:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 18:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 19:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 19:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 20:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 20:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 21:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 21:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 22:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 22:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 23:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-22 23:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 00:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 00:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 01:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 01:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 02:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 02:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 03:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 03:30:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 04:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 04:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 05:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 05:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 06:00:14","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 06:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 07:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 07:30:10","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 08:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 08:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 09:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 09:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 10:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 10:30:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 11:00:11","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 11:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 12:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 12:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 13:00:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 13:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 14:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 14:30:12","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 15:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 15:30:10","l32","-","-","-","-","-","","","","","","","","","","","","","",""
"2018-06-23 16:00:13","l32","-","-","-","-","-","","","","","","","","","","","","","",""
