"TimeStamp","Host","Uptime","HashRate","Freq","T_max","ASIC","T_1","ASIC_1_Status","ASIC_1","T_2","ASIC_2_Status","ASIC_2","T_3","ASIC_3_Status","ASIC_3","Fan_1","Fan_2"
"2018-07-07 16:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 16:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 17:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 17:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 18:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 18:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 19:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 19:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 20:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 20:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 21:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 23:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-07 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 01:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 03:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 05:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 06:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 07:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 08:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 08:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 09:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 10:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 10:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 11:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 12:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 12:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 13:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 13:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 14:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 14:40:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 15:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 15:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 16:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 16:40:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 17:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 17:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 18:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 18:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 19:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 19:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 20:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 20:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 21:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 23:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-08 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 01:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 03:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 05:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 06:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 06:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 07:10:19","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 07:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 08:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 08:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 09:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 09:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 10:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 10:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 11:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 11:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 12:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 12:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 13:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 13:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 14:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 14:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 15:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 15:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 16:10:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 16:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 17:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 17:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 18:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 18:40:21","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 19:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 19:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 20:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 20:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 21:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 21:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 22:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 22:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 23:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-09 23:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 00:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 00:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 01:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 01:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 02:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 02:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 03:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 03:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 04:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 04:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 05:10:20","s92","-","-","-","-","-","","","","","","","","","","",""
"2018-07-10 05:40:20","s92","-","-","-","-","-","","","","","","","","","","",""
